timestamp,open,high,low,close,volume 
2026-09-17 21:25:00,4331.2,4331.2,4326.94,4328.37,
2026-09-17 21:30:00,4327.94,4328.82,4326.01,4326.26,
2026-09-17 21:35:00,4326.6,4326.94,4324.14,4324.35,
2026-09-17 21:40:00,4324.85,4326.65,4322.46,4326.24,
2026-09-17 21:45:00,4325.71,4332.94,4323.51,4332.43,
2026-09-17 21:50:00,4331.36,4340.27,4330.87,4339.52,
2026-09-17 21:55:00,4338.02,4349.34,4338.02,4348.73,
2026-09-17 22:00:00,4347.75,4352.18,4343.85,4344.67,
2026-09-17 22:05:00,4345.62,4352.16,4345.62,4351.04,
2026-09-17 22:10:00,4349.35,4354.48,4349.35,4353.76,
2026-09-17 22:15:00,4353.88,4364.66,4350.74,4363.38,
2026-09-17 22:20:00,4360.58,4374.26,4360.58,4373.32,
2026-09-17 22:25:00,4372.8,4380.2,4368.66,4379.82,
2026-09-17 22:30:00,4379.07,4380.29,4368.15,4368.55,
2026-09-17 22:35:00,4368.9,4371.58,4365.12,4367.16,
2026-09-17 22:40:00,4366.46,4370.77,4362.49,4363.14,
2026-09-17 22:45:00,4364.42,4365.84,4359.39,4364.69,
2026-09-17 22:50:00,4363.25,4374.84,4363.25,4374.4,
2026-09-17 22:55:00,4373.72,4375.39,4371.2,4373.23,
2026-09-17 23:00:00,4373,4373.02,4367.38,4367.89,
2026-09-17 23:05:00,4368.03,4371.61,4365.14,4370.89,
2026-09-17 23:10:00,4369.56,4369.56,4360.33,4360.77,
2026-09-17 23:15:00,4361.59,4373.5,4361.59,4373.13,
2026-09-17 23:20:00,4372.33,4374.28,4367.61,4368.66,
2026-09-17 23:25:00,4371.14,4371.14,4365.67,4365.85,
2026-09-17 23:30:00,4366.22,4368.26,4366.22,4367.98,
2026-09-17 23:35:00,4367.59,4373.88,4364.08,4364.68,
2026-09-17 23:40:00,4365.69,4365.69,4358.44,4359.69,
2026-09-17 23:45:00,4359.35,4369.1,4354.16,4365.65,
2026-09-17 23:50:00,4366.19,4370.82,4366.19,4367.03,
2026-09-17 23:55:00,4367.58,4368.72,4365.48,4365.7,
2026-09-18 00:00:00,4365.92,4369.48,4364.25,4369.29,
2026-09-18 00:05:00,4368.91,4378.43,4367.69,4375.4,
2026-09-18 00:10:00,4376.02,4380.01,4367.96,4371.83,
2026-09-18 00:15:00,4371.04,4372.73,4367,4367.26,
2026-09-18 00:20:00,4367.84,4369.87,4365.09,4369.53,
2026-09-18 00:25:00,4369.28,4372.35,4367.19,4367.56,
2026-09-18 00:30:00,4368.21,4368.42,4362.43,4365.22,
2026-09-18 00:35:00,4364.05,4367.77,4363.13,4363.62,
2026-09-18 00:40:00,4364.26,4364.26,4359.77,4360.1,
2026-09-18 00:45:00,4360.68,4364.05,4359.69,4359.95,
2026-09-18 00:50:00,4360.28,4362.24,4356.74,4357.44,
2026-09-18 00:55:00,4358.72,4358.72,4353.32,4353.59,
2026-09-18 01:00:00,4353.77,4358.06,4352.56,4357.46,
2026-09-18 01:05:00,4356.29,4357.7,4355.65,4356.49,
2026-09-18 01:10:00,4356.84,4361.19,4354.07,4360.05,
2026-09-18 01:15:00,4358.52,4364.33,4358.52,4364.2,
2026-09-18 01:20:00,4363.92,4364.97,4360.99,4362.3,
2026-09-18 01:25:00,4361.89,4363.19,4356.92,4357.93,
2026-09-18 01:30:00,4357.53,4358.44,4357.22,4357.49,
